X,Y,Index_,event_unique_id,Division,occurrencedate,reporteddate,location,primary_type,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,year,month,time,occurrencedayofyear,dayofweek,occurrencehour,MCI,Hood_ID,Neighbourhood,Long,Lat,ObjectId,Zone,Season,Arrest
-8859955.19,5424371.891,110,GO-20141625305,D23,2014/03/02 05:00:00+00,2014/03/02 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2014,March,2,61,Sunday    ,8,2014,March,2,61,Sunday    ,8,Assault,1,West Humber-Clairville,-79.59033164,43.73401277,1,North,Spring,1
-8861109.529,5424036.238,188,GO-20141272968,D23,2013/12/24 05:00:00+00,2014/01/03 05:00:00+00,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,1610,200,Robbery - Mugging,2014,January,3,3,Friday    ,11,2013,December,24,358,Tuesday   ,22,Robbery,1,West Humber-Clairville,-79.60070124,43.73183406,2,North,Spring,1
-8861119.801,5417042.986,287,GO-20141284361,D23,2013/01/05 05:00:00+00,2014/01/05 05:00:00+00,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,1430,100,Assault,2014,January,5,5,Sunday    ,5,2013,January,5,5,Saturday  ,4,Assault,1,West Humber-Clairville,-79.60079352,43.68642313,3,North,Spring,1
-8861462.901,5425855.512,384,GO-20141292177,D23,2013/12/31 05:00:00+00,2014/01/06 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,2014,January,6,6,Monday    ,17,2013,December,31,365,Tuesday   ,21,Break and Enter,1,West Humber-Clairville,-79.60387564,43.74364194,4,South,Spring,1
-8859522.263,5418688.023,438,GO-20141297201,D23,2014/01/03 05:00:00+00,2014/01/07 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,2014,January,7,7,Tuesday   ,10,2014,January,3,3,Friday    ,10,Break and Enter,1,West Humber-Clairville,-79.58644259,43.69710833,5,South,Spring,1
-8859354.008,5415799.115,542,GO-20141302953,D23,2014/01/08 05:00:00+00,2014/01/08 05:00:00+00,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,2014,January,8,8,Wednesday ,9,2014,January,8,8,Wednesday ,2,Theft Over,1,West Humber-Clairville,-79.58493113,43.67834241,6,South,Spring,1
-8863262.628,5422673.796,546,GO-20141304312,D23,2014/01/08 05:00:00+00,2014/01/08 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,2014,January,8,8,Wednesday ,12,2014,January,8,8,Wednesday ,11,Break and Enter,1,West Humber-Clairville,-79.62004286,43.72298969,7,South,Spring,0
-8859354.008,5415799.115,593,GO-20141303907,D23,2014/01/06 05:00:00+00,2014/01/09 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,2014,January,9,9,Thursday  ,11,2014,January,6,6,Monday    ,0,Theft Over,1,West Humber-Clairville,-79.58493113,43.67834241,8,South,Spring,1
-8859735.889,5419537.475,632,GO-20141312296,D23,2013/12/26 05:00:00+00,2014/01/09 05:00:00+00,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,2130,210,Theft Over,2014,January,9,9,Thursday  ,17,2013,December,26,360,Thursday  ,14,Theft Over,1,West Humber-Clairville,-79.58836162,43.70262513,9,South,Spring,0
-8863751.471,5423466.862,686,GO-20141319035,D23,2014/01/10 05:00:00+00,2014/01/10 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,2014,January,10,10,Friday    ,18,2014,January,10,10,Friday    ,18,Break and Enter,1,West Humber-Clairville,-79.62443421,43.72813808,10,North,Spring,1
-8863059.034,5424117.868,798,GO-20141328884,D23,2014/01/12 05:00:00+00,2014/01/12 05:00:00+00,Retirement Home,Other,1430,100,Assault,2014,January,12,12,Sunday    ,11,2014,January,12,12,Sunday    ,10,Assault,1,West Humber-Clairville,-79.61821394,43.73236392,11,North,Spring,0
-8861283.87,5427712.07,825,GO-20141332021,D23,2014/01/12 05:00:00+00,2014/01/12 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2014,January,12,12,Sunday    ,21,2014,January,12,12,Sunday    ,21,Assault,1,West Humber-Clairville,-79.60226737,43.75568941,12,North,Spring,1
-8861283.87,5427712.07,826,GO-20141332021,D23,2014/01/12 05:00:00+00,2014/01/12 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2014,January,12,12,Sunday    ,21,2014,January,12,12,Sunday    ,21,Assault,1,West Humber-Clairville,-79.60226737,43.75568941,13,North,Spring,0
-8862911.638,5422791.461,849,GO-20141332404,D23,2014/01/12 05:00:00+00,2014/01/12 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1450,120,Discharge Firearm With Intent,2014,January,12,12,Sunday    ,22,2014,January,12,12,Sunday    ,22,Assault,1,West Humber-Clairville,-79.61688986,43.72375357,14,North,Spring,0
-8860307.916,5424335.006,858,GO-20141334381,D23,2014/01/13 05:00:00+00,2014/01/13 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2014,January,13,13,Monday    ,9,2014,January,13,13,Monday    ,9,Assault,1,West Humber-Clairville,-79.59350023,43.73377335,15,South,Spring,1
-8859749.211,5418109.691,861,GO-20141334930,D23,2014/01/13 05:00:00+00,2014/01/13 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,2014,January,13,13,Monday    ,11,2014,January,13,13,Monday    ,11,Assault,1,West Humber-Clairville,-79.5884813,43.69335204,16,South,Spring,0
-8859749.211,5418109.691,862,GO-20141334930,D23,2014/01/13 05:00:00+00,2014/01/13 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,2014,January,13,13,Monday    ,11,2014,January,13,13,Monday    ,11,Assault,1,West Humber-Clairville,-79.5884813,43.69335204,17,South,Spring,1
-8863144.146,5422368.246,960,GO-20141342620,D23,2014/01/14 05:00:00+00,2014/01/14 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,2014,January,14,14,Tuesday   ,15,2014,January,14,14,Tuesday   ,14,Break and Enter,1,West Humber-Clairville,-79.61897852,43.72100602,18,South,Spring,0
-8863356.896,5423585.557,987,GO-20141343495,D23,2014/01/14 05:00:00+00,2014/01/14 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,2014,January,14,14,Tuesday   ,17,2014,January,14,14,Tuesday   ,10,Break and Enter,1,West Humber-Clairville,-79.62088968,43.72890858,19,South,Spring,1
-8861518.457,5427747.769,1031,GO-20141349527,D23,2014/01/15 05:00:00+00,2014/01/15 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,2014,January,15,15,Wednesday ,18,2014,January,15,15,Wednesday ,16,Break and Enter,1,West Humber-Clairville,-79.6043747,43.75592104,20,South,Spring,0
-8859613.905,5417519.307,1038,GO-20141348545,D23,2013/01/15 05:00:00+00,2014/01/15 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1420,110,Assault Bodily Harm,2014,January,15,15,Wednesday ,20,2013,January,15,15,Tuesday   ,0,Assault,1,West Humber-Clairville,-79.58726582,43.68951723,21,South,Spring,1
-8860032.206,5424027.001,1099,GO-20141355450,D23,2014/01/16 05:00:00+00,2014/01/16 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,2014,January,16,16,Thursday  ,15,2014,January,16,16,Thursday  ,13,Break and Enter,1,West Humber-Clairville,-79.59102348,43.7317741,22,South,Spring,0
-8861664.974,5423588.653,1164,GO-20141361247,D23,2014/01/17 05:00:00+00,2014/01/17 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,100,Robbery With Weapon,2014,January,17,17,Friday    ,14,2014,January,17,17,Friday    ,14,Robbery,1,West Humber-Clairville,-79.60569089,43.72892868,23,South,Winter,0
-8859955.19,5424371.891,1298,GO-20141370221,D23,2014/01/18 05:00:00+00,2014/01/18 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault With Weapon,2014,January,18,18,Saturday  ,23,2014,January,18,18,Saturday  ,23,Assault,1,West Humber-Clairville,-79.59033164,43.73401277,24,North,Winter,1
-8857780.848,5417838.923,1361,GO-20141374929,D23,2014/01/19 05:00:00+00,2014/01/19 05:00:00+00,Ttc Bus Stop / Shelter / Loop,Outside,1610,200,Robbery - Mugging,2014,January,19,19,Sunday    ,20,2014,January,19,19,Sunday    ,20,Robbery,1,West Humber-Clairville,-79.57079919,43.69159331,25,North,Winter,0
-8860205.027,5421679.241,1450,GO-20141381904,D23,2014/01/21 05:00:00+00,2014/01/21 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1610,220,Robbery - Other,2014,January,21,21,Tuesday   ,1,2014,January,21,21,Tuesday   ,1,Robbery,1,West Humber-Clairville,-79.59257596,43.71653266,26,North,Winter,1
-8863473.935,5426205.397,1477,GO-20141383838,D23,2014/01/17 05:00:00+00,2014/01/21 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,2014,January,21,21,Tuesday   ,11,2014,January,17,17,Friday    ,2,Break and Enter,1,West Humber-Clairville,-79.62194106,43.74591258,27,North,Winter,0
-8863727.595,5423892.616,1484,GO-20141384701,D23,2014/01/21 05:00:00+00,2014/01/21 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,2014,January,21,21,Tuesday   ,14,2014,January,21,21,Tuesday   ,14,Break and Enter,1,West Humber-Clairville,-79.62421973,43.73090179,28,North,Winter,1
-8863197.659,5424245.634,1558,GO-20141390145,D23,2014/01/22 05:00:00+00,2014/01/22 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1410,100,Aggravated Assault,2014,January,22,22,Wednesday ,14,2014,January,22,22,Wednesday ,12,Assault,1,West Humber-Clairville,-79.61945923,43.73319325,29,North,Winter,0
-8862898.158,5422354.039,1695,GO-20141404535,D23,2014/01/24 05:00:00+00,2014/01/24 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2014,January,24,24,Friday    ,19,2014,January,24,24,Friday    ,19,Assault,1,West Humber-Clairville,-79.61676877,43.72091378,30,North,Winter,1
-8858474.176,5417626.417,1882,GO-20141413933,D23,2014/01/25 05:00:00+00,2014/01/27 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,2014,January,27,27,Monday    ,19,2014,January,25,25,Saturday  ,14,Theft Over,1,West Humber-Clairville,-79.57702746,43.69021298,31,North,Winter,0
-8858314.587,5419433.432,1929,GO-20141424403,D23,2014/01/27 05:00:00+00,2014/01/28 05:00:00+00,Unknown,Other,2132,200,Theft From Motor Vehicle Over,2014,January,28,28,Tuesday   ,14,2014,January,27,27,Monday    ,14,Theft Over,1,West Humber-Clairville,-79.57559385,43.70194945,32,North,Winter,1
-8859690.904,5422008.242,2090,GO-20141439210,D23,2014/01/30 05:00:00+00,2014/01/30 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1420,100,Assault With Weapon,2014,January,30,30,Thursday  ,20,2014,January,30,30,Thursday  ,18,Assault,1,West Humber-Clairville,-79.58795752,43.71866874,33,North,Winter,0
-8858128.965,5422369.844,2098,GO-20141438655,D23,2014/01/30 05:00:00+00,2014/01/30 05:00:00+00,Schools During Supervised Activity,Educational,1610,220,Robbery - Other,2014,January,30,30,Thursday  ,23,2014,January,30,30,Thursday  ,23,Robbery,1,West Humber-Clairville,-79.57392638,43.72101639,34,North,Winter,1
-8858128.965,5422369.844,2099,GO-20141438655,D23,2014/01/30 05:00:00+00,2014/01/30 05:00:00+00,Schools During Supervised Activity,Educational,1610,220,Robbery - Other,2014,January,30,30,Thursday  ,23,2014,January,30,30,Thursday  ,23,Robbery,1,West Humber-Clairville,-79.57392638,43.72101639,35,North,Winter,0
-8860490.23,5419299.526,2175,GO-20141445876,D23,2014/01/31 05:00:00+00,2014/01/31 05:00:00+00,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,1460,100,Assault Peace Officer,2014,January,31,31,Friday    ,20,2014,January,31,31,Friday    ,20,Assault,1,West Humber-Clairville,-79.59513798,43.70107981,36,North,Winter,1
-8861496.588,5420061.767,2273,GO-20141453303,D23,2014/02/02 05:00:00+00,2014/02/02 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,2014,February,2,33,Sunday    ,1,2014,February,2,33,Sunday    ,1,Assault,1,West Humber-Clairville,-79.60417825,43.70602991,37,North,Winter,0
-8861496.588,5420061.767,2274,GO-20141453303,D23,2014/02/02 05:00:00+00,2014/02/02 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,2014,February,2,33,Sunday    ,1,2014,February,2,33,Sunday    ,1,Assault,1,West Humber-Clairville,-79.60417825,43.70602991,38,West,Winter,1
-8861496.588,5420061.767,2275,GO-20141453303,D23,2014/02/02 05:00:00+00,2014/02/02 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,2014,February,2,33,Sunday    ,1,2014,February,2,33,Sunday    ,1,Assault,1,West Humber-Clairville,-79.60417825,43.70602991,39,West,Winter,0
-8863247.232,5422776.42,2467,GO-20141469770,D23,2014/02/04 05:00:00+00,2014/02/04 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,1610,200,Robbery - Mugging,2014,February,4,35,Tuesday   ,18,2014,February,4,35,Tuesday   ,17,Robbery,1,West Humber-Clairville,-79.61990455,43.72365593,40,West,Winter,1
-8861220.527,5421973.629,2496,GO-20141472601,D23,2014/01/15 05:00:00+00,2014/02/05 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,2014,February,5,36,Wednesday ,9,2014,January,15,15,Wednesday ,12,Theft Over,1,West Humber-Clairville,-79.60169835,43.71844401,41,West,Winter,1
-8859084.959,5422077.481,2513,GO-20141473969,D23,2014/02/05 05:00:00+00,2014/02/05 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,2014,February,5,36,Wednesday ,14,2014,February,5,36,Wednesday ,13,Assault,1,West Humber-Clairville,-79.58251422,43.71911827,42,West,Winter,1
-8858206.289,5423467.327,2570,GO-20141477571,D23,2014/02/06 05:00:00+00,2014/02/06 05:00:00+00,Ttc Bus,Transit,1430,110,Assault - Force/Thrt/Impede,2014,February,6,37,Thursday  ,6,2014,February,6,37,Thursday  ,6,Assault,1,West Humber-Clairville,-79.57462099,43.7281411,43,West,Winter,0
-8861462.901,5425855.512,2654,GO-20141485236,D23,2014/02/06 05:00:00+00,2014/02/07 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,2014,February,7,38,Friday    ,10,2014,February,6,37,Thursday  ,19,Break and Enter,1,West Humber-Clairville,-79.60387564,43.74364194,44,West,Winter,1
-8861870.49,5425081.825,2833,GO-20141501459,D23,2014/02/10 05:00:00+00,2014/02/10 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,2014,February,10,41,Monday    ,4,2014,February,10,41,Monday    ,4,Break and Enter,1,West Humber-Clairville,-79.60753707,43.73862066,45,West,Winter,1
-8860640.938,5425920.81,3007,GO-20141515314,D23,2014/02/12 05:00:00+00,2014/02/12 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,2014,February,12,43,Wednesday ,10,2014,February,12,43,Wednesday ,7,Break and Enter,1,West Humber-Clairville,-79.59649182,43.74406571,46,West,Winter,0
-8859226.256,5416796.308,3085,GO-20141521227,D23,2014/02/13 05:00:00+00,2014/02/13 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,2014,February,13,44,Thursday  ,12,2014,February,13,44,Thursday  ,9,Theft Over,1,West Humber-Clairville,-79.58378351,43.68482069,47,West,Winter,1
-8864916.1,5426440.569,3169,GO-20141527859,D23,2014/02/14 05:00:00+00,2014/02/14 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2132,200,Theft From Motor Vehicle Over,2014,February,14,45,Friday    ,10,2014,February,14,45,Friday    ,10,Theft Over,1,West Humber-Clairville,-79.63489625,43.74743872,48,West,Winter,0
-8861220.527,5421973.629,3423,GO-20141550208,D23,2014/02/18 05:00:00+00,2014/02/18 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,2014,February,18,49,Tuesday   ,7,2014,February,18,49,Tuesday   ,7,Theft Over,1,West Humber-Clairville,-79.60169835,43.71844401,49,West,Winter,1
-8860490.23,5419299.526,3487,GO-20141554915,D23,2014/02/18 05:00:00+00,2014/02/18 05:00:00+00,Jails / Detention Centres,Other,1430,100,Assault,2014,February,18,49,Tuesday   ,21,2014,February,18,49,Tuesday   ,21,Assault,1,West Humber-Clairville,-79.59513798,43.70107981,50,West,Summer,0
-8863473.935,5426205.397,3509,GO-20141551071,D23,2014/02/17 05:00:00+00,2014/02/18 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,220,B&E W'Intent,2014,February,18,49,Tuesday   ,10,2014,February,17,48,Monday    ,3,Break and Enter,1,West Humber-Clairville,-79.62194106,43.74591258,51,West,Summer,1
-8857709.296,5417623.702,3564,GO-20141559364,D23,2014/02/19 05:00:00+00,2014/02/19 05:00:00+00,Bar / Restaurant,Commercial,2132,200,Theft From Motor Vehicle Over,2014,February,19,50,Wednesday ,15,2014,February,19,50,Wednesday ,14,Theft Over,1,West Humber-Clairville,-79.57015643,43.69019534,52,West,Summer,0
-8860533.576,5417094.556,3609,GO-20141563626,D23,2014/02/19 05:00:00+00,2014/02/20 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,200,Robbery - Mugging,2014,February,20,51,Thursday  ,9,2014,February,19,50,Wednesday ,23,Robbery,1,West Humber-Clairville,-79.59552737,43.68675813,53,West,Summer,1
-8858314.587,5419433.432,3821,GO-20141450997,D23,2014/02/01 05:00:00+00,2014/02/01 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,2014,February,1,32,Saturday  ,17,2014,February,1,32,Saturday  ,16,Assault,1,West Humber-Clairville,-79.57559385,43.70194945,54,North,Summer,0
-8858314.587,5419433.432,3988,GO-20141595545,D23,2014/02/25 05:00:00+00,2014/02/25 05:00:00+00,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,2120,200,B&E,2014,February,25,56,Tuesday   ,16,2014,February,25,56,Tuesday   ,16,Break and Enter,1,West Humber-Clairville,-79.57559385,43.70194945,55,East,Summer,1
-8858314.587,5419433.432,3989,GO-20141595545,D23,2014/02/25 05:00:00+00,2014/02/25 05:00:00+00,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,2130,210,Theft Over,2014,February,25,56,Tuesday   ,16,2014,February,25,56,Tuesday   ,16,Theft Over,1,West Humber-Clairville,-79.57559385,43.70194945,56,South,Summer,0
-8860307.916,5424335.006,4087,GO-20141604164,D23,2014/02/26 05:00:00+00,2014/02/26 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2014,February,26,57,Wednesday ,22,2014,February,26,57,Wednesday ,20,Assault,1,West Humber-Clairville,-79.59350023,43.73377335,57,East,Summer,0
-8860208.72,5423829.067,4105,GO-20141601038,D23,2014/02/26 05:00:00+00,2014/02/26 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,2014,February,26,57,Wednesday ,11,2014,February,26,57,Wednesday ,10,Break and Enter,1,West Humber-Clairville,-79.59260914,43.73048928,58,South,Summer,1
-8863792.915,5423577.822,4109,GO-20141603591,D23,2014/02/26 05:00:00+00,2014/02/26 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,2014,February,26,57,Wednesday ,18,2014,February,26,57,Wednesday ,18,Break and Enter,1,West Humber-Clairville,-79.62480651,43.72885837,59,West,Summer,0
-8864888.782,5427028.257,4113,GO-20141605560,D23,2014/02/27 05:00:00+00,2014/02/27 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,2014,February,27,58,Thursday  ,2,2014,February,27,58,Thursday  ,1,Break and Enter,1,West Humber-Clairville,-79.63465085,43.75125233,60,North,Summer,0
-8860640.938,5425920.81,4256,GO-20141620132,D23,2014/03/01 05:00:00+00,2014/03/01 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1420,100,Assault With Weapon,2014,March,1,60,Saturday  ,11,2014,March,1,60,Saturday  ,11,Assault,1,West Humber-Clairville,-79.59649182,43.74406571,61,North,Summer,0
-8860640.938,5425920.81,4257,GO-20141620132,D23,2014/03/01 05:00:00+00,2014/03/01 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,210,Unlawfully In Dwelling-House,2014,March,1,60,Saturday  ,11,2014,March,1,60,Saturday  ,11,Break and Enter,1,West Humber-Clairville,-79.59649182,43.74406571,62,North,Summer,0
-8858925.125,5421265.512,4554,GO-20141645040,D23,2014/03/05 05:00:00+00,2014/03/05 05:00:00+00,"Construction Site (Warehouse, Trailer, Shed)",Commercial,1420,100,Assault With Weapon,2014,March,5,64,Wednesday ,14,2014,March,5,64,Wednesday ,14,Assault,1,West Humber-Clairville,-79.58107841,43.71384637,63,North,Summer,0
-8860686.993,5426089.282,4557,GO-20141642959,D23,2014/02/27 05:00:00+00,2014/03/05 05:00:00+00,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,2014,March,5,64,Wednesday ,8,2014,February,27,58,Thursday  ,16,Theft Over,1,West Humber-Clairville,-79.59690554,43.74515904,64,North,Summer,1
-8857747.542,5418700.137,4654,GO-20141652029,D23,2014/02/27 05:00:00+00,2014/03/06 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,2014,March,6,65,Thursday  ,17,2014,February,27,58,Thursday  ,12,Theft Over,1,West Humber-Clairville,-79.5705,43.69718701,65,North,Summer,1
-8861462.901,5425855.512,4668,GO-20141654152,D23,2014/03/06 05:00:00+00,2014/03/06 05:00:00+00,Bar / Restaurant,Commercial,1610,100,Robbery With Weapon,2014,March,6,65,Thursday  ,23,2014,March,6,65,Thursday  ,23,Robbery,1,West Humber-Clairville,-79.60387564,43.74364194,66,North,Summer,1
-8861462.901,5425855.512,4669,GO-20141654152,D23,2014/03/06 05:00:00+00,2014/03/06 05:00:00+00,Bar / Restaurant,Commercial,1610,100,Robbery With Weapon,2014,March,6,65,Thursday  ,23,2014,March,6,65,Thursday  ,23,Robbery,1,West Humber-Clairville,-79.60387564,43.74364194,67,North,Summer,1
-8861462.901,5425855.512,4670,GO-20141654152,D23,2014/03/06 05:00:00+00,2014/03/06 05:00:00+00,Bar / Restaurant,Commercial,1610,100,Robbery With Weapon,2014,March,6,65,Thursday  ,23,2014,March,6,65,Thursday  ,23,Robbery,1,West Humber-Clairville,-79.60387564,43.74364194,68,North,Summer,0
-8858474.176,5417626.417,4712,GO-20141658331,D23,2014/02/21 05:00:00+00,2014/03/07 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,2014,March,7,66,Friday    ,16,2014,February,21,52,Friday    ,4,Theft Over,1,West Humber-Clairville,-79.57702746,43.69021298,69,North,Summer,0
-8861220.527,5421973.629,4726,GO-20141659912,D23,2014/03/07 05:00:00+00,2014/03/07 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1480,100,Assault - Resist/ Prevent Seiz,2014,March,7,66,Friday    ,21,2014,March,7,66,Friday    ,21,Assault,1,West Humber-Clairville,-79.60169835,43.71844401,70,North,Summer,0
-8861220.527,5421973.629,4727,GO-20141659912,D23,2014/03/07 05:00:00+00,2014/03/07 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1480,100,Assault - Resist/ Prevent Seiz,2014,March,7,66,Friday    ,21,2014,March,7,66,Friday    ,21,Assault,1,West Humber-Clairville,-79.60169835,43.71844401,71,North,Summer,1
-8861220.527,5421973.629,4789,GO-20141664602,D23,2014/03/08 05:00:00+00,2014/03/08 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,2014,March,8,67,Saturday  ,17,2014,March,8,67,Saturday  ,16,Assault,1,West Humber-Clairville,-79.60169835,43.71844401,72,North,Summer,1
-8862226.361,5424961.982,4802,GO-20141664993,D23,2014/03/08 05:00:00+00,2014/03/08 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1420,100,Assault With Weapon,2014,March,8,67,Saturday  ,20,2014,March,8,67,Saturday  ,17,Assault,1,West Humber-Clairville,-79.61073391,43.73784283,73,North,Summer,1
-8862226.361,5424961.982,4803,GO-20141664993,D23,2014/03/08 05:00:00+00,2014/03/08 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1420,100,Assault With Weapon,2014,March,8,67,Saturday  ,20,2014,March,8,67,Saturday  ,17,Assault,1,West Humber-Clairville,-79.61073391,43.73784283,74,North,Summer,1
-8862226.361,5424961.982,4804,GO-20141664993,D23,2014/03/08 05:00:00+00,2014/03/08 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1420,100,Assault With Weapon,2014,March,8,67,Saturday  ,20,2014,March,8,67,Saturday  ,17,Assault,1,West Humber-Clairville,-79.61073391,43.73784283,75,North,Summer,0
-8858503.418,5423335.86,4822,GO-20141666871,D23,2014/03/09 05:00:00+00,2014/03/09 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2014,March,9,68,Sunday    ,0,2014,March,9,68,Sunday    ,0,Assault,1,West Humber-Clairville,-79.57729015,43.72728768,76,North,Summer,0
-8861462.901,5425855.512,4915,GO-20141674333,D23,2014/03/10 04:00:00+00,2014/03/10 04:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,2014,March,10,69,Monday    ,10,2014,March,10,69,Monday    ,6,Break and Enter,1,West Humber-Clairville,-79.60387564,43.74364194,77,North,Summer,1
-8861462.901,5425855.512,4937,GO-20141674991,D23,2014/03/10 04:00:00+00,2014/03/10 04:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,2014,March,10,69,Monday    ,10,2014,March,10,69,Monday    ,6,Break and Enter,1,West Humber-Clairville,-79.60387564,43.74364194,78,North,Summer,0
